index,(+ve word count) ,(-ve word count),(overall polarity),(times change in pol),(largest + cont),(largest - cont),(capital letters),(punctuation),emoji_count,laughter_exp_count,label
4877,0,0,0,0,0,0,3,0,0,0,1
4878,2,0,3,0,2,0,4,0,0,0,0
4879,1,0,1,0,1,0,10,4,0,0,1
4880,0,1,-1,0,0,1,62,0,1,0,0
4881,0,0,0,0,0,0,3,2,0,0,1
4882,0,0,0,0,0,0,1,3,0,0,1
4883,0,0,0,0,0,0,10,0,0,0,0
4884,0,1,-2,0,0,1,0,1,1,0,1
4885,0,1,-3,0,0,1,6,0,0,0,0
4886,0,1,-2,0,0,1,4,2,0,0,0
4887,0,1,-3,0,0,1,1,0,0,0,0
4888,1,0,2,0,1,0,1,0,0,0,1
4889,2,0,3,0,2,0,80,0,0,0,0
4890,0,1,-1,0,0,1,5,0,0,0,0
4891,0,0,0,0,0,0,4,2,0,0,0
4892,0,0,0,0,0,0,2,0,0,0,0
4893,0,0,0,0,0,0,0,0,0,0,1
4894,0,0,0,0,0,0,4,1,0,0,1
4895,1,0,1,0,1,0,4,0,0,0,1
4896,0,0,0,0,0,0,3,1,0,0,1
4897,0,2,-2,0,0,2,12,0,0,0,0
4898,0,0,0,0,0,0,7,3,0,0,1
4899,2,0,3,0,2,0,2,0,0,0,1
4900,1,0,1,0,1,0,9,0,0,0,0
4901,0,0,0,0,0,0,9,0,0,0,0
4902,0,0,0,0,0,0,4,0,0,0,0
4903,1,2,-2,2,1,1,4,0,0,0,0
4904,1,2,-1,1,1,2,1,0,0,0,1
4905,0,1,-2,0,0,1,6,0,0,0,1
4906,1,0,2,0,1,0,5,0,0,0,0
4907,0,0,0,0,0,0,1,0,0,0,0
4908,0,1,-2,0,0,1,0,1,0,0,0
4909,1,2,-1,2,1,1,11,0,0,0,1
4910,1,1,0,1,1,1,9,1,1,0,1
4911,2,0,2,0,2,0,2,1,0,0,1
4912,0,2,-2,0,0,2,7,0,0,0,0
4913,1,0,1,0,1,0,1,0,0,0,1
4914,1,0,1,0,1,0,1,0,0,0,0
4915,0,0,0,0,0,0,5,1,0,0,1
4916,1,0,2,0,1,0,2,0,0,0,0
4917,1,0,1,0,1,0,9,0,0,0,0
4918,0,0,0,0,0,0,2,1,0,0,1
4919,0,0,0,0,0,0,5,0,0,0,0
4920,0,0,0,0,0,0,2,0,0,0,0
4921,2,1,2,2,1,1,10,3,2,0,1
4922,0,0,0,0,0,0,4,0,0,0,0
4923,0,0,0,0,0,0,3,0,0,0,1
4924,0,0,0,0,0,0,3,0,0,0,0
4925,0,0,0,0,0,0,6,0,0,0,1
4926,1,0,2,0,1,0,17,0,0,0,0
4927,0,2,-2,0,0,2,4,0,0,0,1
4928,0,1,-3,0,0,1,1,2,0,0,1
4929,1,0,1,0,1,0,0,0,0,0,0
4930,0,0,0,0,0,0,10,0,0,0,0
4931,1,0,1,0,1,0,14,0,0,0,0
4932,1,0,1,0,1,0,2,0,0,0,1
4933,0,0,0,0,0,0,9,0,0,0,0
4934,0,0,0,0,0,0,3,0,0,0,0
4935,1,0,1,0,1,0,1,0,0,0,1
4936,1,0,2,0,1,0,8,0,0,0,0
4937,0,0,0,0,0,0,5,0,0,0,0
4938,0,1,-1,0,0,1,4,0,0,0,1
4939,1,0,1,0,1,0,4,0,0,0,0
4940,1,0,2,0,1,0,3,2,0,0,1
4941,2,0,4,0,2,0,3,0,0,0,0
4942,3,1,3,1,3,1,0,0,0,0,1
4943,1,0,1,0,1,0,1,3,0,0,1
4944,0,0,0,0,0,0,3,2,0,0,1
4945,0,1,-1,0,0,1,8,0,0,0,0
4946,1,0,2,0,1,0,10,0,0,0,0
4947,1,0,2,0,1,0,2,1,0,0,1
4948,1,0,1,0,1,0,0,0,0,0,1
4949,0,0,0,0,0,0,4,0,0,0,0
4950,0,1,-2,0,0,1,2,0,0,0,1
4951,0,0,0,0,0,0,3,0,0,0,0
4952,0,0,0,0,0,0,6,2,0,0,1
4953,0,0,0,0,0,0,9,0,0,0,0
4954,0,0,0,0,0,0,1,0,0,0,0
4955,0,0,0,0,0,0,6,0,0,0,0
4956,0,0,0,0,0,0,19,0,0,0,0
4957,2,0,2,0,2,0,4,2,0,0,0
4958,1,1,0,1,1,1,4,0,0,0,1
4959,0,0,0,0,0,0,2,0,0,0,1
4960,0,1,-1,0,0,1,5,3,5,0,1
4961,0,0,0,0,0,0,6,0,0,0,0
4962,1,0,1,0,1,0,3,3,0,0,1
4963,0,0,0,0,0,0,10,2,0,0,0
4964,1,1,-1,1,1,1,9,1,0,0,1
4965,1,0,1,0,1,0,4,0,0,0,0
4966,0,0,0,0,0,0,2,0,0,0,1
4967,0,0,0,0,0,0,19,0,0,0,0
4968,1,0,3,0,1,0,9,0,0,0,1
4969,0,1,-2,0,0,1,0,0,0,0,0
4970,1,0,1,0,1,0,0,2,0,0,1
4971,1,0,2,0,1,0,8,2,0,0,1
4972,0,0,0,0,0,0,1,0,0,0,0
4973,0,0,0,0,0,0,1,1,0,0,0
4974,0,0,0,0,0,0,2,0,0,0,0
4975,0,0,0,0,0,0,1,0,0,0,1
4976,0,1,-1,0,0,1,1,0,0,0,1
4977,0,0,0,0,0,0,4,0,0,0,1
4978,0,2,-2,0,0,2,1,1,0,0,0
4979,0,1,-1,0,0,1,2,0,0,0,0
4980,2,0,3,0,2,0,1,0,0,0,1
4981,0,0,0,0,0,0,3,0,0,0,0
4982,0,0,0,0,0,0,6,0,0,0,0
4983,0,0,0,0,0,0,11,1,0,0,0
4984,0,0,0,0,0,0,1,0,0,0,1
4985,1,0,2,0,1,0,2,1,0,0,1
4986,1,0,1,0,1,0,0,0,0,0,0
4987,2,1,2,1,2,1,1,0,0,0,1
4988,0,0,0,0,0,0,12,0,0,0,0
4989,0,0,0,0,0,0,16,0,0,0,0
4990,0,0,0,0,0,0,4,1,0,0,0
4991,1,1,0,1,1,1,4,0,0,0,0
4992,0,1,-2,0,0,1,0,0,0,0,0
4993,1,1,0,1,1,1,2,0,0,0,0
4994,0,1,-3,0,0,1,2,1,1,0,1
4995,1,0,2,0,1,0,5,2,0,0,1
4996,1,1,0,1,1,1,6,0,0,0,1
4997,0,0,0,0,0,0,29,0,0,0,0
4998,1,0,1,0,1,0,0,0,0,0,0
4999,1,0,1,0,1,0,4,0,0,0,1
5000,0,0,0,0,0,0,1,0,3,0,1
5001,0,0,0,0,0,0,1,0,0,0,0
5002,0,0,0,0,0,0,12,0,0,0,0
5003,0,0,0,0,0,0,15,1,0,0,0
5004,1,0,1,0,1,0,4,3,0,0,1
5005,1,0,1,0,1,0,3,0,0,0,1
5006,2,0,3,0,2,0,7,0,0,0,0
5007,2,0,3,0,2,0,4,0,0,0,1
5008,3,3,0,3,2,2,5,3,0,0,1
5009,1,0,1,0,1,0,6,0,0,0,0
5010,1,0,1,0,1,0,6,1,0,0,1
5011,0,0,0,0,0,0,1,0,0,0,1
5012,2,1,2,1,2,1,6,2,0,0,1
5013,1,0,1,0,1,0,3,0,0,0,1
5014,1,1,0,1,1,1,7,0,0,0,0
5015,3,0,4,0,3,0,5,0,0,0,0
5016,1,2,-2,2,1,1,1,2,0,0,1
5017,0,3,-3,0,0,3,3,0,0,0,0
5018,1,0,2,0,1,0,2,0,0,0,0
5019,0,0,0,0,0,0,0,0,0,0,1
5020,0,0,0,0,0,0,3,0,0,0,1
5021,0,0,0,0,0,0,7,0,0,0,1
5022,0,1,-3,0,0,1,2,0,0,0,0
5023,0,0,0,0,0,0,3,1,0,0,1
5024,0,0,0,0,0,0,0,1,0,0,1
5025,0,2,-3,0,0,2,1,2,1,0,1
5026,1,0,2,0,1,0,6,1,0,0,1
5027,1,0,1,0,1,0,7,1,0,0,1
5028,0,2,-3,0,0,2,5,0,0,0,1
5029,0,0,0,0,0,0,10,1,0,0,0
5030,0,0,0,0,0,0,1,0,0,0,1
5031,0,1,-1,0,0,1,10,1,0,0,0
5032,1,0,1,0,1,0,2,0,0,0,0
5033,0,0,0,0,0,0,2,1,0,0,0
5034,0,0,0,0,0,0,10,0,0,0,0
5035,0,0,0,0,0,0,9,0,0,0,0
5036,0,2,-4,0,0,2,5,4,0,0,1
5037,1,0,1,0,1,0,8,0,0,0,1
5038,0,0,0,0,0,0,7,0,0,0,0
5039,2,0,3,0,2,0,8,0,0,0,0
5040,1,0,1,0,1,0,8,0,0,0,0
5041,0,0,0,0,0,0,4,1,1,0,1
5042,0,0,0,0,0,0,1,0,0,0,0
5043,1,2,-2,2,1,1,2,0,0,1,1
5044,1,0,2,0,1,0,10,1,0,0,1
5045,0,0,0,0,0,0,1,0,0,0,0
5046,0,0,0,0,0,0,9,1,0,0,1
5047,1,0,2,0,1,0,3,0,0,0,0
5048,0,0,0,0,0,0,0,0,0,0,0
5049,2,0,3,0,2,0,11,0,2,0,0
5050,0,0,0,0,0,0,0,1,0,0,1
5051,0,0,0,0,0,0,3,0,0,0,0
5052,0,0,0,0,0,0,21,1,0,0,0
5053,2,0,3,0,2,0,6,0,0,0,0
5054,0,0,0,0,0,0,4,0,0,0,0
5055,0,0,0,0,0,0,5,1,3,0,0
5056,1,1,0,1,1,1,7,1,0,0,0
5057,0,0,0,0,0,0,5,0,0,0,0
5058,0,0,0,0,0,0,3,1,0,0,1
5059,1,0,2,0,1,0,2,3,0,0,1
5060,0,0,0,0,0,0,9,1,0,0,0
5061,0,1,-2,0,0,1,14,1,0,0,1
5062,0,0,0,0,0,0,10,0,0,0,0
5063,0,0,0,0,0,0,4,0,0,0,0
5064,1,0,1,0,1,0,4,0,0,0,0
5065,1,1,0,1,1,1,9,0,0,0,0
5066,0,0,0,0,0,0,2,1,0,0,1
5067,1,0,1,0,1,0,8,0,0,0,1
5068,0,0,0,0,0,0,1,0,0,0,0
5069,0,0,0,0,0,0,4,0,0,0,0
5070,0,0,0,0,0,0,6,0,0,0,0
5071,0,1,-2,0,0,1,6,0,0,0,0
5072,1,1,0,1,1,1,6,0,0,0,0
5073,1,0,1,0,1,0,0,1,0,0,1
5074,2,1,2,2,1,1,1,0,0,0,0
5075,1,1,1,1,1,1,1,2,0,0,1
5076,0,0,0,0,0,0,1,0,0,0,1
5077,0,0,0,0,0,0,9,0,0,0,0
5078,1,0,1,0,1,0,0,1,0,0,0
5079,1,0,1,0,1,0,2,0,0,0,0
5080,0,1,-1,0,0,1,3,0,0,0,1
5081,0,2,-3,0,0,2,8,1,0,0,0
5082,0,1,-2,0,0,1,0,0,1,0,1
5083,0,0,0,0,0,0,0,0,0,0,1
5084,1,1,-1,1,1,1,1,0,0,0,0
5085,0,0,0,0,0,0,6,0,0,0,1
5086,0,0,0,0,0,0,1,0,0,0,1
5087,0,0,0,0,0,0,9,1,0,0,0
5088,0,0,0,0,0,0,4,1,0,0,1
5089,0,1,-1,0,0,1,2,2,0,0,1
5090,1,0,3,0,1,0,10,0,0,0,1
5091,2,1,2,2,1,1,10,4,2,0,0
